,웹툰이름,썸네일경로,웹툰디테일경로,집단,x,y,군집
0,뷰티풀 군바리,https://image-comic.pstatic.net/webtoon/648419/thumbnail/thumbnail_IMAG21_d9398229-cbfd-47dc-9208-0a6fb936f3a7.jpg,https://comic.naver.com/webtoon/list?titleId=648419,0,-2.954509735107422,-0.3436034023761749,0.0
1,신의 탑,https://image-comic.pstatic.net/webtoon/183559/thumbnail/thumbnail_IMAG21_5f3fec31-5c95-4afe-a73f-3046288edb47.jpg,https://comic.naver.com/webtoon/list?titleId=183559,4,1.115393877029419,-1.0909770727157593,4.0
2,퀘스트지상주의,https://image-comic.pstatic.net/webtoon/783052/thumbnail/thumbnail_IMAG21_e14cbea7-8416-40e7-9aae-ccff970ac88f.jpg,https://comic.naver.com/webtoon/list?titleId=783052,2,-0.963524580001831,7.515509128570557,2.0
3,똑 닮은 딸,https://image-comic.pstatic.net/webtoon/774866/thumbnail/thumbnail_IMAG21_46cf2e65-7b7c-4fb7-8f54-0078456d8ff0.jpg,https://comic.naver.com/webtoon/list?titleId=774866,4,-1.0877950191497803,-6.093815803527832,4.0
4,백수세끼,https://image-comic.pstatic.net/webtoon/733074/thumbnail/thumbnail_IMAG21_80df3e76-47af-4007-b57c-e8f2830835e5.jpg,https://comic.naver.com/webtoon/list?titleId=733074,1,0.5234720706939697,7.1132049560546875,1.0
5,윈드브레이커,https://image-comic.pstatic.net/webtoon/602910/thumbnail/thumbnail_IMAG21_e861f2cf-6157-4d33-8e02-7b4cbf0a8baf.jpg,https://comic.naver.com/webtoon/list?titleId=602910,0,-3.2582271099090576,-0.6091877818107605,0.0
6,장씨세가 호위무사,https://image-comic.pstatic.net/webtoon/728750/thumbnail/thumbnail_IMAG21_47c21251-b213-4882-bacc-15adce1acfc8.jpg,https://comic.naver.com/webtoon/list?titleId=728750,2,-1.8662748336791992,0.9168243408203125,2.0
7,소녀의 세계,https://image-comic.pstatic.net/webtoon/654774/thumbnail/thumbnail_IMAG21_4048794550434817075.jpg,https://comic.naver.com/webtoon/list?titleId=654774,1,0.05385413020849228,2.869361400604248,1.0
8,신화급 귀속 아이템을 손에 넣었다,https://image-comic.pstatic.net/webtoon/795297/thumbnail/thumbnail_IMAG21_4134925888999731505.jpg,https://comic.naver.com/webtoon/list?titleId=795297,2,-4.191805839538574,2.582841634750366,2.0
9,버림받은 왕녀의 은밀한 침실,https://image-comic.pstatic.net/webtoon/796867/thumbnail/thumbnail_IMAG21_77aa5064-b42b-4838-912e-2c6266c53a74.jpg,https://comic.naver.com/webtoon/list?titleId=796867,2,-1.3216170072555542,2.1214733123779297,2.0
